module,metric,mean,std
EmergencyLaneScenario.node[16].appl,receivedWSMs,0.0,0.0
EmergencyLaneScenario.node[32].veinsmobility,maxSpeed,17.150424427,0.0
EmergencyLaneScenario.node[27].veinsmobility,stopTime,131.2,0.0
EmergencyLaneScenario.node[22].nic.mac1609_4,sentPackets:count,31.0,0.0
EmergencyLaneScenario.node[12].veinsmobility,maxSpeed,13.1252939591,0.0
EmergencyLaneScenario.node[9].nic.mac1609_4,TimesIntoBackoff,16.0,22.627416998
EmergencyLaneScenario.node[12].appl,emergencyMessagesReceived,1.0,0.0
EmergencyLaneScenario.node[20].appl,generatedWSAs,0.0,0.0
EmergencyLaneScenario.node[12].nic.mac1609_4,RXTXLostPackets,0.0,0.0
EmergencyLaneScenario.node[32].nic.mac1609_4,NumInternalContention,0.0,0.0
EmergencyLaneScenario.node[20].nic.mac1609_4,TooLittleTime,0.0,0.0
EmergencyLaneScenario.node[4].nic.mac1609_4,sentAcks:count,0.0,0.0
EmergencyLaneScenario.node[2].appl,generatedWSMs,0.0,0.0
EmergencyLaneScenario.node[20].nic.mac1609_4,retriesExceeded:count,0.0,0.0
EmergencyLaneScenario.rsu[1].appl,priorityMessagesSent,0.0,0.0
EmergencyLaneScenario.node[23].nic.mac1609_4,sentPackets:count,21.0,0.0
EmergencyLaneScenario.node[4].appl,receivedBSMs,697.5,986.413959755
EmergencyLaneScenario.node[12].nic.mac1609_4,sentAcks:count,0.0,0.0
EmergencyLaneScenario.node[12].nic.mac1609_4,DroppedPacketsInMac,0.0,0.0
EmergencyLaneScenario.node[0].nic.mac1609_4,sentPackets:count,32.0,45.2548339959
EmergencyLaneScenario.rsu[1].nic.mac1609_4,sentPackets:count,0.0,0.0
EmergencyLaneScenario.node[20].nic.mac1609_4,TimesIntoBackoff,34.0,0.0
EmergencyLaneScenario.node[27].nic.mac1609_4,DroppedPacketsInMac,0.0,0.0
EmergencyLaneScenario.node[30].appl,generatedWSAs,0.0,0.0
EmergencyLaneScenario.node[26].nic.mac1609_4,retriesExceeded:count,0.0,0.0
EmergencyLaneScenario.node[33].appl,generatedBSMs,14.0,0.0
EmergencyLaneScenario.node[6].appl,receivedWSMs,15.5,21.9203102168
EmergencyLaneScenario.node[10].veinsmobility,totalDistance,339.076024941,0.0
EmergencyLaneScenario.node[34].nic.mac1609_4,totalBusyTime,0.051511,0.0
EmergencyLaneScenario.node[22].nic.mac1609_4,SentAcknowledgements,0.0,0.0
EmergencyLaneScenario.node[32].veinsmobility,startTime,43.2,0.0
EmergencyLaneScenario.node[25].nic.mac1609_4,sentAcks:count,0.0,0.0
EmergencyLaneScenario.node[26].veinsmobility,maxSpeed,15.0464241497,0.0
EmergencyLaneScenario.node[23].nic.mac1609_4,ReceivedUnicastPackets,0.0,0.0
EmergencyLaneScenario.node[7].nic.mac1609_4,ReceivedBroadcasts,271.0,383.251875403
EmergencyLaneScenario.node[6].nic.mac1609_4,TimesIntoBackoff,26.0,36.7695526217
EmergencyLaneScenario.node[3].nic.mac1609_4,RXTXLostPackets,0.0,0.0
EmergencyLaneScenario.node[20].veinsmobility,minSpeed,0.975913282207,0.0
EmergencyLaneScenario.node[14].appl,generatedWSMs,0.0,0.0
EmergencyLaneScenario.node[6].appl,avgResponseTime,232.500034625,0.0
EmergencyLaneScenario.node[3].appl,receivedBSMs,593.0,838.628642487
EmergencyLaneScenario.node[2].appl,generatedWSAs,0.0,0.0
EmergencyLaneScenario.node[25].veinsmobility,maxSpeed,13.053116134,0.0
EmergencyLaneScenario.node[8].nic.mac1609_4,TooLittleTime,0.0,0.0
EmergencyLaneScenario.rsu[1].appl,receivedWSMs,0.0,0.0
EmergencyLaneScenario.node[21].veinsmobility,maxSpeed,18.0570544849,0.0
EmergencyLaneScenario.node[28].appl,generatedWSAs,0.0,0.0
